timestamp,frame_no,vehicle_id,vehicle_class,plate,confidence,speed_kmh
2025-08-22 04:11:24,196,4,car,Apq5 JEQ,0.13,94.31
2025-08-22 04:11:24,196,6,car,RHZKK,0.11,114.55
2025-08-22 04:11:25,197,6,car,KHOSZZK,0.48,59.40
2025-08-22 04:11:26,198,4,car,Apps Jeo,0.34,87.24
2025-08-22 04:11:26,198,6,car,RHO5ZZK,0.12,75.79
2025-08-22 04:11:26,199,4,car,Apos JEQ,0.39,85.38
2025-08-22 04:11:26,199,6,car,DZK,0.22,95.54
2025-08-22 04:11:27,200,4,car,Apos JEQ,0.44,65.25
2025-08-22 04:11:27,200,6,car,ROBZZK,0.11,108.67
2025-08-22 04:11:28,201,4,car,Apqs EQ,0.12,75.02
2025-08-22 04:11:28,201,6,car,KXO;ZZK,0.13,111.32
2025-08-22 04:11:28,202,4,car,Apo5 JEQ,0.21,99.28
2025-08-22 04:11:28,202,6,car,KAOBEZK,0.20,65.25
2025-08-22 04:11:29,203,6,car,KISK,0.11,71.03
2025-08-22 04:11:29,204,4,car,Apo5 Jed,0.34,62.97
2025-08-22 04:11:29,204,6,car,KISAX,0.18,85.38
2025-08-22 04:11:30,205,4,car,Apos Jeo,0.09,72.45
2025-08-22 04:11:30,205,6,car,KISK,0.14,88.57
2025-08-22 04:11:30,206,6,car,KhOSZZK,0.33,54.00
2025-08-22 04:11:31,207,6,car,KoSK,0.33,65.69
2025-08-22 04:11:31,208,4,car,Apo5 JEQ,0.39,53.46
2025-08-22 04:11:31,208,6,car,KHOS ZZK,0.59,85.38
2025-08-22 04:11:32,209,4,car,Apo5 JEQ,0.34,57.40
2025-08-22 04:11:32,209,6,car,HSK,0.29,56.38
2025-08-22 04:11:32,210,4,car,Apo5 JEO,0.25,54.00
2025-08-22 04:11:32,210,6,car,KSZK,0.24,92.28
2025-08-22 04:11:33,211,4,car,Apo5 JEO,0.29,43.54
2025-08-22 04:11:33,211,6,car,KHOS ZZK,0.49,102.74
2025-08-22 04:11:33,212,4,car,Ap05 JEO,0.21,49.79
